epoch,micro_f1,macro_f1,ndcg_at_5,mrr_at_5,map,micro_f1_yf,macro_f1_yf,ndcg_at_5_yf,mrr_at_5_yf,map_yf
0,0.31055900621118004,0.3157894736842105,0.5899,0.5548,0.5381,0.32919254658385094,0.3358540280613926,0.6451,0.6018,0.5865
1,0.30434782608695654,0.30919260002868215,0.5939,0.5548,0.546,0.32919254658385094,0.3358540280613926,0.6444,0.6018,0.5852
2,0.30434782608695654,0.30919260002868215,0.5963,0.568,0.546,0.32919254658385094,0.3358540280613926,0.6469,0.6149,0.5852
3,0.30434782608695654,0.30919260002868215,0.5963,0.568,0.546,0.32919254658385094,0.3358540280613926,0.6469,0.6149,0.5852
4,0.30434782608695654,0.30919260002868215,0.5963,0.568,0.546,0.32919254658385094,0.3358540280613926,0.6469,0.6149,0.5852
5,0.30434782608695654,0.30919260002868215,0.5963,0.568,0.546,0.32919254658385094,0.3358540280613926,0.6469,0.6149,0.5852
6,0.30434782608695654,0.30919260002868215,0.5963,0.568,0.546,0.32919254658385094,0.3358540280613926,0.6469,0.6149,0.5852
7,0.30434782608695654,0.30919260002868215,0.5963,0.568,0.546,0.32919254658385094,0.3358540280613926,0.6469,0.6149,0.5852
8,0.31055900621118004,0.3157894736842105,0.5924,0.568,0.5381,0.32919254658385094,0.3358540280613926,0.6476,0.6149,0.5865
9,0.31055900621118004,0.3157894736842105,0.5924,0.568,0.5381,0.32919254658385094,0.3358540280613926,0.6487,0.6162,0.5879
10,0.3167701863354037,0.32125984251968503,0.6047,0.5732,0.5477,0.32298136645962733,0.32925993143778987,0.6413,0.6118,0.5879
11,0.31055900621118004,0.3157894736842105,0.5874,0.5504,0.5333,0.32919254658385094,0.33557578155916107,0.6193,0.5886,0.5652
12,0.25465838509316774,0.2618452606335985,0.6027,0.5724,0.558,0.2981366459627329,0.3035780719991247,0.6354,0.6048,0.5799
13,0.28571428571428575,0.2903858631349949,0.5675,0.525,0.5099,0.31055900621118004,0.31380604944393287,0.5924,0.557,0.5393
14,0.2670807453416149,0.27434310968260356,0.5914,0.5447,0.5326,0.2981366459627329,0.30469005041894887,0.6322,0.5864,0.5779
15,0.2670807453416149,0.2747504709985169,0.5852,0.5544,0.5316,0.2981366459627329,0.30301744632603056,0.6187,0.5974,0.5629
16,0.2608695652173913,0.26816220880069025,0.5465,0.5066,0.4887,0.2795031055900621,0.29149797570850206,0.5939,0.5658,0.5414
17,0.2422360248447205,0.2508203176269852,0.5559,0.5228,0.5041,0.2608695652173913,0.26775389177168274,0.5875,0.5645,0.5326
18,0.2608695652173913,0.2670690866994667,0.5431,0.5022,0.4833,0.2919254658385093,0.29851210304241627,0.5814,0.5373,0.5254
19,0.2795031055900621,0.2857419080397541,0.5903,0.5579,0.5405,0.32298136645962733,0.3337612323491657,0.6393,0.6118,0.5817
20,0.27329192546583847,0.27914934062017355,0.5373,0.4943,0.4798,0.30434782608695654,0.3089107489050047,0.5856,0.5461,0.5224
21,0.2919254658385093,0.29627910458935397,0.6048,0.5531,0.5444,0.32919254658385094,0.3399456873141084,0.6518,0.6123,0.5814
22,0.2422360248447205,0.26031027529731293,0.5485,0.5004,0.4874,0.2795031055900621,0.29788388497015744,0.6096,0.5746,0.5439
23,0.27329192546583847,0.2795637743006164,0.5785,0.5425,0.5247,0.2981366459627329,0.3018867924528302,0.6083,0.5864,0.5488
24,0.2795031055900621,0.28463064534951577,0.549,0.5,0.4841,0.3167701863354037,0.3216833833109296,0.6109,0.5645,0.5466
25,0.28571428571428575,0.29024520663050957,0.5284,0.489,0.4626,0.32919254658385094,0.34034657459098383,0.5909,0.5425,0.5072
26,0.2919254658385093,0.29781970805630875,0.5643,0.5083,0.4882,0.3167701863354037,0.32717562892553653,0.6381,0.593,0.5655
27,0.2670807453416149,0.27213861547222,0.5704,0.5338,0.5142,0.2981366459627329,0.309414181483318,0.6173,0.5789,0.556
28,0.2981366459627329,0.30301744632603056,0.624,0.5864,0.5689,0.3602484472049689,0.37004735948530065,0.6804,0.6447,0.5987
29,0.28571428571428575,0.2924714943743865,0.5735,0.5294,0.5066,0.32919254658385094,0.3350171912192542,0.6184,0.5842,0.5513
30,0.2670807453416149,0.26843765565332894,0.5417,0.5114,0.4817,0.3167701863354037,0.32182419399283557,0.6186,0.5816,0.5447
31,0.27329192546583847,0.2780349814733655,0.586,0.557,0.5319,0.2981366459627329,0.3044132069303695,0.6257,0.6075,0.5727
32,0.25465838509316774,0.26225132208511714,0.5372,0.4846,0.4592,0.28571428571428575,0.2993666739462765,0.588,0.5285,0.5082
33,0.2422360248447205,0.25082031762698526,0.5655,0.5285,0.5183,0.2795031055900621,0.292914264459736,0.5997,0.5697,0.5394
34,0.30434782608695654,0.31612903225806455,0.6018,0.5557,0.5365,0.32298136645962733,0.3358774645592309,0.6561,0.607,0.5925
35,0.23602484472049692,0.23173431734317346,0.485,0.4627,0.4428,0.2608695652173913,0.254229164817609,0.5347,0.4934,0.4749
36,0.2422360248447205,0.2471535982814179,0.5436,0.4991,0.4795,0.28571428571428575,0.28925486582978244,0.5898,0.5447,0.5168
37,0.2670807453416149,0.2604028589993503,0.5414,0.5154,0.489,0.28571428571428575,0.277972709551657,0.5835,0.557,0.5374
38,0.2919254658385093,0.2854108263908082,0.5776,0.5548,0.5158,0.30434782608695654,0.3039988238753307,0.6025,0.5776,0.5413
39,0.2422360248447205,0.23790608596964113,0.5211,0.5132,0.4797,0.2795031055900621,0.2738486842105263,0.5771,0.561,0.5289
40,0.2608695652173913,0.2545454545454546,0.5668,0.5447,0.5266,0.2795031055900621,0.2716388126714892,0.5791,0.5614,0.5398
41,0.2236024844720497,0.22184058995858175,0.4839,0.4373,0.4281,0.2484472049689441,0.24484926352498512,0.5163,0.4776,0.4583
42,0.2236024844720497,0.22001021972406748,0.4648,0.436,0.4174,0.2422360248447205,0.23790608596964113,0.4901,0.4583,0.4398
43,0.2236024844720497,0.21876609331548055,0.4888,0.4763,0.438,0.22981366459627328,0.22462495609853997,0.5015,0.4908,0.4538
44,0.2422360248447205,0.2369704749679076,0.5148,0.489,0.4633,0.2670807453416149,0.2594488703147447,0.5341,0.5044,0.4788
45,0.2608695652173913,0.2562661867345595,0.5501,0.5461,0.5092,0.2795031055900621,0.28063555114200595,0.5786,0.5645,0.5302
46,0.21739130434782605,0.21445404556166542,0.4847,0.4474,0.4355,0.2484472049689441,0.24329954173031526,0.5156,0.4781,0.4668
47,0.2111801242236025,0.2094993581514763,0.4762,0.4482,0.4341,0.2236024844720497,0.22077803203661334,0.4814,0.4583,0.4376
48,0.1987577639751553,0.19775891341256374,0.4873,0.4702,0.4491,0.23602484472049692,0.2315789473684211,0.5078,0.4833,0.4658
49,0.2236024844720497,0.21954594372982114,0.4696,0.4518,0.431,0.23602484472049692,0.23079777365491652,0.4897,0.4658,0.4509
50,0.2484472049689441,0.24500275077938743,0.5097,0.4978,0.4644,0.2795031055900621,0.2761633814265393,0.5862,0.5632,0.532
51,0.23602484472049692,0.23281393217231902,0.518,0.5009,0.4787,0.25465838509316774,0.24993921930574944,0.5312,0.5184,0.4954
52,0.22981366459627328,0.22571770334928232,0.5366,0.5228,0.5063,0.2484472049689441,0.2451559708671156,0.5568,0.5368,0.5266
53,0.23602484472049692,0.23157894736842108,0.5103,0.4943,0.4675,0.2670807453416149,0.26944891640866875,0.5816,0.5496,0.5316
54,0.27329192546583847,0.26783252059862117,0.5327,0.5009,0.4769,0.30434782608695654,0.29617744578680594,0.5662,0.5303,0.5019
55,0.18012422360248445,0.17939635819406335,0.4544,0.4189,0.4066,0.2111801242236025,0.20782171255476825,0.4758,0.4329,0.4244
