epoch,micro_f1,macro_f1,ndcg_at_5,mrr_at_5,map,micro_f1_yf,macro_f1_yf,ndcg_at_5_yf,mrr_at_5_yf,map_yf
0,0.08074534161490683,0.08373919874312649,0.2461,0.2346,0.2303,0.11180124223602485,0.11239964317573596,0.2766,0.2583,0.2408
1,0.08695652173913043,0.08965771071034229,0.25,0.2311,0.2268,0.10559006211180125,0.10694487698536283,0.2812,0.2553,0.2496
2,0.08074534161490683,0.08971767166260022,0.2491,0.2276,0.2276,0.11180124223602485,0.11975253295077559,0.2976,0.2627,0.2548
3,0.08695652173913043,0.09632121540965817,0.2547,0.2272,0.2272,0.11801242236024846,0.1257328990228013,0.3073,0.2671,0.2592
4,0.08695652173913043,0.0960034942127102,0.2251,0.1939,0.1947,0.12422360248447205,0.13522629225821634,0.3009,0.2434,0.2443
5,0.09937888198757765,0.10973349890151878,0.2575,0.2132,0.2132,0.11801242236024846,0.1271565495207668,0.2974,0.2474,0.2482
6,0.09937888198757765,0.11416460614623808,0.2782,0.2399,0.2399,0.11801242236024846,0.13204172876304027,0.3086,0.261,0.2618
7,0.11801242236024846,0.1323442136498517,0.2962,0.2649,0.2491,0.13043478260869565,0.14421778584392014,0.3359,0.3035,0.2932
8,0.08695652173913043,0.09610983981693365,0.2097,0.1772,0.1728,0.11801242236024846,0.12692307692307694,0.2729,0.2171,0.2149
9,0.09316770186335405,0.10270822687787431,0.2459,0.2101,0.2035,0.12422360248447205,0.13206930369401768,0.3019,0.2561,0.2491
10,0.10559006211180125,0.11410675890436574,0.2649,0.2132,0.2132,0.13043478260869565,0.13949294906372817,0.3261,0.2671,0.2671
11,0.10559006211180125,0.1164383561643836,0.2889,0.2518,0.2439,0.12422360248447205,0.13906052259361276,0.3277,0.2776,0.2697
12,0.09316770186335405,0.10776942355889725,0.2538,0.2211,0.2145,0.12422360248447205,0.13926211862519491,0.318,0.2623,0.2579
13,0.10559006211180125,0.1206322515554061,0.3221,0.282,0.282,0.11801242236024846,0.13264401772525852,0.3483,0.3079,0.3066
14,0.12422360248447205,0.13654927949449025,0.356,0.3154,0.3149,0.15527950310559002,0.16861014812480304,0.4201,0.3675,0.3658
15,0.13043478260869565,0.1417004048582996,0.3563,0.3197,0.314,0.16149068322981366,0.17092912787383627,0.4157,0.3715,0.3664
16,0.09937888198757765,0.11198677321576192,0.3185,0.307,0.2982,0.12422360248447205,0.13567251461988306,0.3769,0.3509,0.3421
17,0.11801242236024846,0.12995391705069126,0.3349,0.3189,0.3,0.14285714285714288,0.15395084016108876,0.3778,0.3548,0.3281
18,0.11801242236024846,0.1253682487725041,0.3067,0.2895,0.2702,0.15527950310559002,0.16894862454465526,0.3842,0.3404,0.3224
19,0.12422360248447205,0.13219094247246022,0.3219,0.3026,0.2816,0.16149068322981366,0.17508204691868243,0.3986,0.3579,0.3421
20,0.15527950310559002,0.16792584597803317,0.3684,0.3281,0.3114,0.16770186335403725,0.18166686203258708,0.4114,0.3667,0.3513
21,0.14285714285714288,0.15621702070085242,0.3353,0.3018,0.2857,0.15527950310559002,0.16792584597803317,0.3812,0.3447,0.3287
22,0.13664596273291924,0.15207720210800085,0.349,0.3276,0.311,0.15527950310559002,0.1699496675573231,0.3894,0.3526,0.3404
